,NumberOfTime30-59DaysPastDueNotWorse,NumberOfTimes90DaysLate,age,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
88362,0,0,46,0,3.0,0
15948,0,0,49,0,3.0,0
149429,0,0,36,0,4.0,0
5161,0,0,54,0,0.0,0
99180,1,0,65,0,0.0,0
92165,2,0,46,0,2.0,0
99779,2,0,46,0,2.0,0
90751,0,0,37,0,0.0,0
58605,0,0,44,0,2.0,0
88115,0,0,45,0,1.0,0
109713,0,0,70,0,0.0,0
46274,3,0,46,0,0.0,0
37376,1,0,67,1,0.0,0
77236,0,0,56,0,0.0,0
62722,0,0,68,0,0.0,0
14635,0,0,71,0,1.0,0
102682,4,2,29,0,1.0,1
45380,0,0,37,0,1.0,0
69596,0,0,62,0,3.0,0
67865,0,0,58,0,0.0,0
93100,0,0,31,0,1.0,0
100113,0,0,65,0,0.0,0
91091,1,0,42,0,2.0,0
55116,0,0,51,0,0.0,0
88509,0,0,27,0,2.0,0
31712,0,0,54,0,0.0,0
54370,0,0,64,0,0.0,0
122795,0,0,60,0,0.0,0
125439,1,0,28,0,0.0,0
27171,0,0,42,0,4.0,0
138998,0,0,76,0,0.0,0
18550,0,0,62,0,0.0,0
40956,0,0,52,0,2.0,0
34933,0,0,86,0,0.0,0
55750,0,0,59,0,1.0,0
147336,0,0,69,0,2.0,0
54003,0,0,80,0,0.0,0
128678,0,0,54,0,0.0,0
97802,0,1,36,0,0.0,0
121386,0,0,31,0,2.0,0
142308,0,0,42,0,1.0,0
117358,0,0,52,0,0.0,0
60776,0,0,41,0,0.0,0
9952,1,0,50,0,1.0,0
26006,0,0,45,0,0.0,0
10504,1,0,42,0,2.0,0
24274,0,0,82,0,0.0,0
133293,0,0,48,0,3.0,0
15502,0,0,88,0,0.0,0
1172,0,0,82,0,0.0,0
18431,0,0,38,0,2.0,0
71656,0,0,78,0,0.0,0
51394,1,1,76,0,0.0,0
67217,0,0,60,0,2.0,0
617,0,0,63,0,1.0,0
129025,0,0,64,0,0.0,0
84263,0,0,42,0,2.0,0
84328,0,0,88,0,0.0,0
43692,0,0,62,0,0.0,0
136928,0,0,41,0,3.0,0
2019,0,0,62,0,0.0,0
38778,0,0,65,0,0.0,0
59663,0,0,57,0,0.0,0
84697,0,0,71,0,0.0,0
57876,2,0,64,0,0.0,0
46319,0,0,47,0,3.0,0
131843,0,0,41,0,1.0,0
108316,3,0,38,0,2.0,1
16918,2,1,61,0,0.0,0
110675,0,0,34,0,0.0,0
70622,0,0,53,0,2.0,0
57491,0,0,45,0,3.0,0
133402,0,0,59,0,0.0,0
102150,1,0,47,0,2.0,1
106029,0,0,45,0,4.0,0
28103,0,0,37,0,1.0,0
103419,0,0,80,0,0.0,0
39280,0,0,67,0,0.0,0
49494,1,0,34,0,1.0,0
147266,0,0,39,0,2.0,0
35826,2,0,46,0,4.0,0
142697,1,0,38,0,0.0,1
130161,0,0,40,0,0.0,0
39123,0,0,46,0,2.0,0
26289,0,0,51,0,3.0,0
128938,0,0,73,0,1.0,0
86394,0,0,63,0,0.0,0
40348,0,0,32,0,1.0,0
67583,0,0,48,0,0.0,0
81591,0,0,45,0,3.0,1
115866,0,0,68,0,0.0,0
16346,0,0,60,0,0.0,0
50316,0,0,57,0,0.0,0
1515,0,0,29,0,0.0,0
66832,0,0,68,0,0.0,0
117696,0,0,53,0,4.0,0
146120,1,0,56,0,3.0,0
77009,0,0,61,0,0.0,0
141534,0,0,29,0,0.0,0
116332,0,0,37,0,3.0,0
25712,0,1,61,1,0.0,1
61527,0,0,72,0,0.0,0
980,0,0,63,0,2.0,0
6360,0,0,30,0,2.0,0
24218,0,0,54,0,1.0,0
116848,2,0,61,1,0.0,1
119297,0,0,63,0,0.0,0
47479,0,0,72,1,1.0,0
43401,0,0,53,0,1.0,0
110738,0,0,78,0,2.0,0
39156,0,0,63,0,0.0,0
133851,0,0,38,0,1.0,0
7947,0,0,41,0,2.0,0
29665,0,0,31,0,3.0,0
101899,0,0,53,0,1.0,0
2865,0,0,80,0,0.0,0
14060,1,0,46,0,1.0,0
36980,0,0,54,0,0.0,0
125617,0,0,43,0,2.0,0
126547,0,0,38,0,0.0,0
69481,0,0,23,0,2.0,1
117646,0,0,58,0,1.0,0
95852,0,0,64,0,0.0,0
8794,0,0,50,0,1.0,0
49625,0,0,45,0,2.0,0
63919,0,0,23,0,0.0,0
145536,0,0,54,0,3.0,0
68515,0,0,24,0,0.0,0
121788,0,0,75,0,1.0,0
68941,1,0,47,2,3.0,1
2444,0,0,58,0,0.0,0
139895,0,0,45,0,0.0,0
59928,0,0,80,0,1.0,0
95375,0,0,30,0,0.0,0
28161,0,0,48,0,0.0,0
125783,0,0,26,0,0.0,0
75481,4,0,40,0,0.0,1
22010,0,0,40,0,2.0,0
14396,0,0,47,0,2.0,0
12118,0,0,45,0,2.0,1
67035,0,0,56,0,0.0,0
101979,0,0,48,0,2.0,0
53203,0,0,58,0,0.0,0
99777,0,0,63,0,0.0,0
21039,0,0,47,0,2.0,0
76950,0,0,51,0,0.0,0
20265,0,0,74,0,0.0,0
12126,0,0,39,0,0.0,0
29595,0,0,52,1,0.0,0
72345,0,0,39,0,1.0,0
134401,0,0,39,0,3.0,0
145235,0,0,47,0,4.0,0
16212,1,0,27,0,0.0,0
109970,0,0,53,0,2.0,0
33832,0,0,32,0,3.0,0
79459,0,0,59,0,5.0,0
68056,0,0,52,0,3.0,0
46775,0,0,87,0,0.0,0
79419,2,1,83,1,0.0,0
38098,0,0,49,0,1.0,0
48744,2,0,29,0,0.0,0
63409,0,0,49,0,2.0,0
65272,0,0,74,0,0.0,0
69352,0,0,37,0,3.0,0
106994,0,0,40,0,2.0,0
36974,0,0,64,0,2.0,0
58422,0,0,36,0,0.0,0
97450,0,0,40,0,3.0,0
123920,0,0,85,0,0.0,0
1673,0,0,32,0,0.0,0
10083,0,0,64,0,0.0,0
89066,0,3,31,0,0.0,1
147662,0,0,61,0,1.0,0
26709,0,0,33,0,1.0,0
22911,0,0,36,0,1.0,1
9731,0,0,72,0,0.0,0
142106,0,0,55,0,1.0,0
74292,0,0,49,0,2.0,0
8887,0,0,34,0,3.0,0
110864,0,0,38,0,0.0,0
102826,0,0,48,0,1.0,0
26523,0,0,48,0,0.0,1
15944,2,2,34,1,1.0,0
57564,0,0,36,0,2.0,0
69826,1,0,45,0,0.0,0
56701,0,0,55,0,0.0,1
117121,0,0,54,0,1.0,0
32834,0,0,88,0,0.0,0
15151,2,0,47,0,0.0,0
140279,1,0,39,0,0.0,0
141665,0,0,62,0,0.0,0
50623,0,0,52,0,1.0,0
14216,1,1,58,1,1.0,1
34757,0,0,48,0,0.0,0
41463,0,0,43,0,0.0,0
145293,0,0,56,0,1.0,0
31603,0,0,43,0,0.0,0
139802,0,0,57,0,2.0,0
115944,0,0,25,0,0.0,0
120628,0,0,63,0,1.0,0
91466,0,0,43,0,0.0,0
82786,0,0,58,0,1.0,0
2634,5,0,48,0,1.0,0
107223,0,0,55,0,1.0,0
108694,1,0,33,0,1.0,0
145061,0,0,54,0,0.0,0
76558,0,0,63,0,0.0,0
4150,0,0,76,0,0.0,0
94859,0,0,29,0,0.0,0
101046,0,3,33,1,3.0,1
20952,0,0,35,0,2.0,0
51962,0,0,24,0,0.0,0
48573,2,0,37,0,0.0,0
116965,1,0,43,1,4.0,1
86398,0,0,42,0,3.0,0
116440,0,0,60,0,0.0,0
122652,0,0,53,0,0.0,0
7341,0,0,50,0,1.0,0
86164,0,0,63,0,0.0,0
96145,0,0,22,0,1.0,1
19126,0,0,52,0,1.0,1
82802,0,0,36,0,3.0,0
75981,0,0,37,0,1.0,0
105857,0,0,25,0,0.0,0
81288,0,0,61,0,0.0,0
85857,0,0,37,0,2.0,0
98981,0,0,79,0,0.0,0
13216,1,0,57,0,0.0,0
118247,1,0,61,0,1.0,0
24894,0,0,80,0,0.0,1
37145,0,0,65,0,0.0,0
88013,0,0,42,0,2.0,0
71897,0,1,27,0,2.0,1
33486,0,0,75,0,0.0,0
127915,0,0,35,0,1.0,0
148451,0,0,40,0,0.0,0
75489,0,0,46,0,4.0,0
66974,0,0,26,0,0.0,0
133480,0,0,63,0,0.0,0
138747,0,0,46,0,1.0,0
100382,0,0,44,0,2.0,0
43628,0,0,49,0,0.0,0
126443,0,0,75,0,0.0,0
72301,0,0,56,0,1.0,0
25106,0,0,59,0,0.0,0
52051,0,0,89,0,0.0,0
123587,1,0,63,0,1.0,0
86022,0,0,68,0,0.0,0
95883,0,0,29,0,1.0,0
28906,0,0,40,0,0.0,0
98632,0,0,54,0,2.0,0
104873,1,0,60,0,0.0,1
85799,1,0,50,0,3.0,0
7572,0,0,57,0,0.0,0
139366,0,0,64,0,0.0,0
52681,3,0,56,0,1.0,0
25053,0,0,46,0,1.0,0
117602,0,0,58,0,0.0,0
29890,0,0,42,0,1.0,0
8636,2,0,48,1,3.0,0
80796,0,0,44,0,2.0,0
78639,0,0,34,0,1.0,0
1014,0,0,46,0,0.0,0
63728,1,0,33,0,0.0,1
15348,0,0,59,0,0.0,0
92075,4,0,51,1,0.0,1
22742,0,0,55,0,2.0,0
117766,0,0,50,0,0.0,0
141986,0,0,65,0,0.0,0
7911,0,0,48,0,0.0,0
48118,0,0,67,0,0.0,0
94502,0,0,53,0,0.0,0
135529,0,0,71,0,0.0,0
84501,0,0,56,0,1.0,0
3022,0,0,62,0,0.0,0
35142,0,0,60,0,0.0,0
31402,0,0,39,0,0.0,0
55321,1,0,36,0,0.0,0
73693,0,0,58,0,1.0,0
31282,0,0,35,0,0.0,0
135899,0,0,37,0,0.0,0
24256,0,0,61,0,1.0,0
83794,0,0,69,0,0.0,0
108601,1,0,41,0,0.0,0
46331,0,0,57,0,2.0,0
59355,0,0,64,0,0.0,0
115642,0,0,61,0,2.0,0
12442,0,0,44,0,2.0,0
127446,0,0,52,0,1.0,0
36551,0,0,66,0,1.0,0
142586,1,0,55,0,0.0,0
13261,0,0,51,0,1.0,0
105337,0,0,24,1,0.0,0
81932,0,0,48,0,2.0,0
35673,0,0,34,0,0.0,0
125973,0,0,46,1,1.0,0
112708,0,0,40,0,0.0,0
62109,0,0,27,0,0.0,0
77658,0,0,56,0,0.0,0
23816,0,0,29,0,0.0,0
97544,0,0,40,0,2.0,0
310,2,0,32,1,0.0,0
37747,0,0,80,0,0.0,0
146103,0,0,68,0,0.0,0
51665,0,0,56,0,0.0,0
94176,2,0,76,2,0.0,0
125260,0,0,57,0,2.0,0
18278,0,0,21,0,0.0,0
57865,0,0,42,0,0.0,0
113337,0,0,56,0,0.0,0
23727,0,0,44,0,0.0,0
114496,0,0,63,0,0.0,0
66711,5,0,43,0,2.0,0
42863,1,0,30,0,0.0,0
54566,0,0,38,0,0.0,0
115786,0,0,49,0,4.0,0
29118,0,0,60,0,0.0,0
87259,2,0,47,0,2.0,0
119631,0,0,56,0,0.0,0
83873,0,0,54,0,1.0,0
141527,0,0,61,0,1.0,0
122586,1,0,58,0,0.0,0
22696,0,0,44,0,3.0,0
80281,0,0,50,0,0.0,0
85561,1,0,72,0,0.0,0
118384,0,0,24,0,0.0,0
51724,0,0,57,0,0.0,0
89185,0,0,45,0,1.0,0
43757,0,3,26,0,0.0,0
99959,0,0,37,0,1.0,0
11081,0,0,64,0,0.0,0
111196,0,0,77,0,0.0,0
58927,0,0,60,0,0.0,0
44593,1,0,50,1,2.0,0
130834,0,0,47,0,2.0,0
1210,0,0,53,0,1.0,0
45579,0,0,64,0,1.0,0
147279,0,0,68,0,1.0,0
102089,0,0,76,0,0.0,0
36992,1,0,29,0,4.0,1
87856,2,0,52,0,0.0,0
138094,0,0,53,0,0.0,0
10522,0,0,35,0,4.0,0
56405,0,0,54,0,2.0,0
145262,0,0,62,0,1.0,0
52898,2,0,44,0,0.0,0
59948,0,0,43,0,1.0,0
75283,0,0,58,0,0.0,0
39470,0,0,74,0,0.0,0
119344,0,0,68,0,0.0,0
85547,0,0,42,0,1.0,0
46574,0,0,55,0,0.0,0
58982,0,0,50,0,1.0,0
21360,0,0,75,0,0.0,0
53725,0,0,77,0,0.0,0
149004,0,0,54,0,0.0,0
556,0,0,27,0,0.0,0
146092,0,0,33,0,2.0,0
20948,0,0,33,0,2.0,0
123410,0,0,60,0,1.0,0
87483,0,0,65,0,0.0,0
10787,0,1,40,0,0.0,0
145391,0,0,61,0,0.0,0
21656,0,0,30,0,0.0,0
98382,1,0,51,1,7.0,0
127443,1,0,33,0,0.0,0
67071,0,0,58,0,0.0,0
112612,1,0,55,0,0.0,0
121266,0,0,65,0,0.0,0
148194,0,0,43,0,2.0,1
4194,1,0,39,0,1.0,0
103323,1,0,50,0,0.0,0
94006,0,0,53,0,4.0,0
7241,0,0,40,0,6.0,0
118760,0,0,57,0,1.0,0
27852,0,0,46,0,0.0,0
18157,0,0,36,0,0.0,0
104138,0,0,58,0,1.0,0
64562,0,0,37,0,0.0,0
61536,0,0,58,0,3.0,0
112328,0,0,63,0,0.0,0
46045,0,0,76,0,0.0,0
34895,0,0,30,0,0.0,0
24552,0,0,31,0,2.0,1
111326,3,0,45,0,1.0,0
91258,0,0,35,0,0.0,0
32366,0,0,67,0,0.0,0
19287,0,0,67,0,1.0,0
80817,1,0,35,0,2.0,0
72778,0,0,78,0,1.0,0
31645,0,0,52,0,1.0,0
127249,2,0,35,0,0.0,0
52677,1,0,61,0,0.0,0
50602,1,0,65,0,0.0,0
55138,0,0,47,0,2.0,0
145393,1,0,74,0,1.0,0
117868,1,0,45,0,1.0,0
148780,0,0,42,0,2.0,0
70114,1,0,52,0,0.0,0
138482,0,0,54,0,0.0,0
46679,0,0,47,0,3.0,0
17626,0,0,54,0,0.0,0
100757,0,0,33,0,2.0,0
149888,1,0,48,0,4.0,0
144252,0,0,29,0,3.0,0
37312,0,0,53,0,1.0,0
137885,0,0,68,0,0.0,0
34840,0,0,71,0,0.0,0
84753,0,0,48,0,0.0,0
14914,1,4,38,0,0.0,0
15169,0,0,47,0,1.0,0
124356,0,0,37,0,2.0,0
22581,0,0,47,0,2.0,0
47564,0,0,61,0,0.0,0
46469,1,0,49,0,1.0,0
81081,1,0,65,0,0.0,0
58378,0,0,54,0,0.0,0
107652,0,0,55,0,1.0,0
13722,0,0,50,0,0.0,0
25065,0,0,37,0,3.0,0
81594,0,0,63,0,0.0,0
136724,0,0,70,0,0.0,0
99454,0,0,69,0,1.0,0
85464,0,0,72,0,0.0,0
416,0,0,37,0,0.0,0
20408,0,0,50,0,0.0,0
39866,0,0,65,0,1.0,0
97362,0,0,44,1,0.0,0
144382,0,0,61,0,0.0,0
43731,0,0,32,0,0.0,0
68823,0,0,59,0,0.0,0
35479,0,0,52,0,1.0,0
112971,0,0,33,0,3.0,0
61172,0,0,50,0,2.0,0
52688,0,0,77,0,0.0,0
111500,0,1,69,0,0.0,0
51966,0,0,88,0,0.0,0
110686,0,0,67,0,0.0,0
3025,3,1,46,1,1.0,1
80819,0,0,51,0,0.0,0
72926,0,0,66,0,0.0,0
100790,4,1,49,0,2.0,1
118253,0,0,47,0,3.0,0
110981,0,0,33,0,0.0,0
147912,1,0,46,1,2.0,1
54424,0,0,47,0,0.0,0
112524,0,0,56,0,2.0,0
260,0,0,65,0,1.0,0
51388,0,0,75,0,0.0,0
47835,0,0,55,0,3.0,0
44805,0,0,42,0,3.0,0
87207,0,0,50,0,2.0,0
43813,0,0,44,0,2.0,0
107067,0,0,69,0,1.0,0
14958,0,0,39,0,2.0,0
106045,0,0,63,0,1.0,0
30131,0,0,54,0,0.0,0
31485,2,0,34,0,1.0,0
109070,0,0,54,0,0.0,0
13552,0,0,54,0,0.0,0
70344,0,0,48,0,3.0,0
97101,0,0,48,0,0.0,0
113318,0,0,68,0,0.0,1
93373,0,0,38,0,1.0,0
29504,0,0,49,0,4.0,0
141437,1,0,47,1,0.0,1
86518,0,0,78,0,1.0,0
142125,0,0,62,0,0.0,0
111039,0,0,67,0,1.0,0
57689,1,0,39,0,0.0,0
122173,0,0,51,0,2.0,0
66323,0,0,73,0,0.0,0
123149,0,0,69,0,0.0,0
59550,0,0,57,0,2.0,0
143427,1,1,57,1,0.0,0
17420,0,0,34,1,3.0,0
103599,0,0,52,0,0.0,0
3424,0,0,71,0,0.0,0
59640,0,0,42,0,4.0,0
47307,0,0,39,0,0.0,0
82784,1,0,51,0,1.0,0
63483,0,0,60,0,1.0,0
113390,0,0,60,0,0.0,0
11583,1,0,33,2,0.0,1
6425,0,0,33,0,0.0,0
53963,0,0,61,0,0.0,0
11416,0,0,35,0,1.0,1
17190,0,0,67,0,0.0,0
62601,0,0,57,0,0.0,0
49989,0,0,70,0,0.0,0
62532,0,0,32,1,2.0,0
15115,1,0,66,0,0.0,0
39034,0,0,38,0,2.0,0
51657,0,0,36,0,0.0,0
73306,0,0,74,0,0.0,0
4761,0,0,62,0,1.0,0
135972,0,0,75,0,0.0,0
120237,0,0,33,0,4.0,1
94415,0,0,46,0,3.0,0
36110,0,0,44,0,0.0,0
5639,0,0,65,0,0.0,0
98878,0,0,35,0,0.0,0
128241,1,0,44,0,0.0,0
65582,0,0,76,0,0.0,0
133369,0,0,56,0,0.0,0
7979,0,0,53,0,2.0,0
103507,0,0,65,0,0.0,0
28394,1,0,66,0,0.0,0
59135,0,0,33,0,3.0,0
4962,0,0,68,0,0.0,0
9314,0,0,67,0,4.0,0
14573,0,0,60,0,0.0,1
136976,0,0,80,0,0.0,0
141053,0,0,55,0,1.0,0
140524,0,0,58,0,1.0,0
142727,0,0,46,0,0.0,0
52674,0,0,63,0,0.0,0
15714,2,1,58,0,1.0,0
97543,0,0,76,0,0.0,0
29366,0,0,42,0,0.0,0
58862,0,0,58,0,2.0,0
52689,0,0,27,0,1.0,0
5044,1,0,53,0,2.0,0
4895,0,0,80,0,0.0,0
63999,0,0,61,0,0.0,0
95613,0,0,44,0,3.0,0
31050,0,0,55,0,0.0,0
53351,0,0,60,0,1.0,0
139700,0,0,42,0,0.0,0
35859,0,0,50,0,0.0,0
93470,0,0,55,0,0.0,0
51317,0,0,51,0,1.0,0
98464,0,0,54,0,1.0,0
125430,0,0,26,0,0.0,0
108987,3,0,40,0,2.0,0
101795,0,0,42,0,2.0,0
123999,0,0,56,0,1.0,0
57617,0,0,59,0,4.0,0
147283,0,0,36,0,1.0,1
7422,0,0,76,0,0.0,0
110868,0,0,37,0,1.0,0
135005,0,0,28,0,0.0,1
58245,0,0,56,0,0.0,0
124653,0,0,65,0,0.0,0
52114,0,0,64,0,0.0,0
68277,0,0,47,0,4.0,0
102980,0,0,36,0,4.0,0
71797,0,0,78,0,0.0,0
35100,1,0,73,0,0.0,0
53888,1,0,45,0,2.0,0
93607,1,0,40,0,0.0,0
42059,1,0,39,1,1.0,0
78224,0,0,66,0,2.0,0
99958,0,0,68,0,0.0,0
117852,0,4,46,1,0.0,0
23609,1,0,39,0,2.0,0
51771,0,0,75,0,0.0,0
59553,1,0,54,0,2.0,0
105331,0,0,61,0,0.0,0
103218,1,0,52,0,0.0,0
129920,0,0,34,0,0.0,1
31635,1,0,26,0,0.0,0
76053,1,0,47,0,2.0,0
91917,0,0,67,0,0.0,0
113228,0,0,58,0,0.0,0
55770,0,0,28,0,0.0,0
60691,2,0,51,0,3.0,0
8609,0,0,65,0,0.0,0
125044,0,0,42,0,2.0,0
23797,0,0,59,0,0.0,0
103793,0,0,50,0,3.0,0
93795,0,0,57,0,0.0,1
91207,0,0,40,0,1.0,0
38153,1,2,38,0,2.0,1
142711,0,0,57,0,0.0,0
149525,0,0,32,0,0.0,0
116135,0,0,59,0,0.0,0
144198,0,1,35,0,4.0,0
123047,0,0,40,0,0.0,0
45783,0,0,53,0,2.0,0
89011,0,0,74,0,0.0,0
112247,1,0,78,1,1.0,0
121556,0,0,68,0,1.0,0
37985,0,0,68,0,3.0,0
37688,0,0,47,0,0.0,0
104244,0,0,52,0,3.0,0
126966,0,0,31,0,0.0,0
8442,0,0,52,0,1.0,0
54731,0,0,33,0,0.0,0
92313,0,0,64,0,1.0,0
78477,0,1,49,0,2.0,0
119875,3,0,64,0,0.0,0
45374,0,0,41,0,2.0,0
141041,0,0,53,0,2.0,0
37133,0,0,42,0,0.0,0
102888,0,0,55,0,1.0,0
133681,0,0,45,0,2.0,0
117039,0,0,63,0,0.0,0
98059,0,0,39,0,0.0,0
21191,0,0,49,0,0.0,0
1475,0,0,60,0,0.0,0
52779,0,0,58,0,0.0,0
122017,1,0,48,0,0.0,0
133145,0,0,47,0,3.0,0
41420,0,0,58,0,3.0,0
62933,0,0,33,0,3.0,0
57502,0,0,40,0,2.0,0
78595,0,0,45,0,2.0,0
142379,0,0,71,0,0.0,0
122421,0,0,39,0,0.0,0
68341,0,0,33,0,1.0,0
8777,1,0,61,0,1.0,0
49565,0,2,26,0,3.0,1
111975,0,0,64,0,0.0,0
52482,0,0,54,1,1.0,0
135541,0,0,64,0,0.0,0
98946,0,0,38,1,3.0,0
78741,0,0,38,0,2.0,0
75445,1,0,50,0,0.0,0
70276,0,0,63,0,0.0,0
141687,0,0,37,0,1.0,0
148744,0,0,48,0,2.0,0
75924,0,0,36,0,0.0,0
108974,1,0,29,0,2.0,1
95775,0,0,58,0,0.0,0
17723,2,0,83,0,0.0,0
148777,1,0,41,0,1.0,1
38110,2,0,34,0,0.0,0
96858,0,0,31,0,0.0,0
66181,1,0,41,0,1.0,1
4764,1,0,75,0,0.0,1
4154,0,0,80,0,0.0,0
130515,0,0,24,0,0.0,0
127503,0,0,65,0,0.0,1
106908,0,0,51,0,0.0,0
40718,0,0,37,0,0.0,0
58879,0,0,36,0,2.0,1
133648,0,0,37,0,1.0,0
54422,0,0,34,0,1.0,1
69101,0,0,35,0,2.0,0
102771,0,0,37,0,0.0,0
123283,0,0,62,0,0.0,0
83294,0,0,56,0,0.0,0
94199,2,1,64,2,0.0,0
89091,0,0,68,0,0.0,0
125376,0,0,72,0,0.0,0
100531,0,1,72,0,0.0,0
69599,0,0,67,0,0.0,0
69534,0,0,48,0,0.0,0
37228,1,0,29,0,0.0,0
9788,0,0,65,0,0.0,0
24199,0,0,36,0,0.0,0
20568,1,0,72,0,0.0,0
45607,1,0,44,0,2.0,0
52807,2,0,52,1,0.0,0
37638,0,0,52,0,0.0,0
149469,0,0,40,0,3.0,0
124994,0,0,67,0,0.0,0
56714,0,0,33,0,0.0,0
53177,0,0,54,0,2.0,0
17670,0,0,68,0,0.0,0
35983,0,0,32,0,0.0,0
149167,0,0,46,0,0.0,0
109298,0,0,44,0,0.0,0
70116,0,0,26,0,0.0,0
4313,1,0,31,0,0.0,0
127570,0,0,62,0,1.0,0
123884,0,0,45,0,2.0,0
72383,0,0,42,0,2.0,0
141311,0,0,35,0,3.0,0
69075,0,0,49,0,1.0,0
92584,0,0,53,0,1.0,0
101037,0,0,60,0,0.0,0
49089,0,0,53,0,2.0,0
116906,0,0,63,0,1.0,0
16247,0,0,56,0,0.0,0
13783,0,0,46,0,1.0,0
48397,1,0,50,0,1.0,1
44543,1,0,28,0,0.0,0
101387,0,0,67,0,0.0,0
109531,4,0,57,1,0.0,0
99204,2,0,62,0,0.0,0
143828,1,0,41,0,1.0,0
45617,1,0,58,1,0.0,0
144041,0,0,26,0,1.0,0
27779,0,0,44,0,3.0,0
76046,0,0,55,0,0.0,0
43763,0,0,33,0,2.0,0
37088,0,0,38,0,3.0,0
88337,1,0,57,0,1.0,0
60726,0,0,53,0,2.0,0
114120,0,0,28,0,1.0,0
114255,0,0,44,0,1.0,0
112561,0,1,32,0,1.0,1
22093,0,0,48,0,1.0,0
85699,3,1,41,1,2.0,0
35675,0,0,24,0,0.0,0
60755,0,0,26,0,0.0,0
99914,0,0,40,0,0.0,0
21443,0,0,76,0,0.0,0
100072,0,0,47,0,2.0,0
122430,0,1,31,0,1.0,0
24478,0,0,39,0,4.0,0
12767,0,0,35,0,0.0,0
117800,0,0,51,0,0.0,0
136676,0,0,62,0,0.0,0
105303,1,0,49,0,0.0,1
31534,0,0,59,0,0.0,0
148808,0,0,50,0,3.0,0
120210,0,0,64,0,1.0,0
11691,0,0,54,0,0.0,0
56363,0,0,67,0,0.0,0
44433,0,0,27,0,1.0,0
